"","partic","session","token","group","duration","i_min","i_max","ri","ri_2","max_rising_velocity","wmrv","spectral","category","session_token"
"71",34,2,1,"Comparison-High",0.04979229,64.52213937,76.30037852,11.77823915,0.182545701,329.2862122,4.315656339,"Continuous","approximant","2_1"
"72",34,2,2,"Comparison-High",0.059320862,57.17133941,67.29543347,10.12409406,0.177083381,610.0805723,9.065705366,"Whitening","approximant","2_2"
"73",34,2,3,"Comparison-High",0.053233895,62.68208664,75.76007187,13.07798523,0.208639915,500.9088218,6.611778598,"Continuous","approximant","2_3"
"74",34,2,4,"Comparison-High",0.051016577,62.23842102,71.35289218,9.114471166,0.146444447,402.1246474,5.635716159,"Continuous","approximant","2_4"
"75",34,2,5,"Comparison-High",0.036823356,61.8971859,70.45320919,8.556023287,0.138229601,298.0872905,4.230996628,"Continuous","approximant","2_5"
"76",35,2,1,"Comparison",0.022,48.11530804,66.05287479,17.93756675,0.372803739,845.89284,12.80629863,"Whitening","tap","2_1"
"77",35,2,2,"Comparison",0.014457,60.00777867,62.17887868,2.171100012,0.03618031,163.4336874,2.628443788,"Whitening","tap","2_2"
"78",35,2,3,"Comparison",0.017823707,56.93307133,67.69752135,10.76445002,0.189072006,565.3176071,8.350639667,"Continuous","approximant","2_3"
"79",35,2,4,"Comparison",0.016945,52.52520385,69.42922618,16.90402233,0.321826877,808.489093,11.64479481,"Whitening","tap","2_4"
"80",35,2,5,"Comparison",0.016859651,59.77389396,69.22676155,9.452867588,0.158143747,538.4697044,7.778346009,"Whitening","tap","2_5"
"81",39,2,1,"Comparison",0.06396359,38.6886117,61.47260999,22.78399829,0.588907104,681.2876038,11.08278311,"Continuous","approximant","2_1"
"82",39,2,2,"Comparison",0.0402638,52.45793754,56.52716569,4.069228146,0.077571257,235.3484991,4.163458335,"Continuous","approximant","2_2"
"83",39,2,3,"Comparison",0.037755729,49.79045001,59.92375051,10.1333005,0.203518958,751.8954601,12.54753672,"Continuous","approximant","2_3"
"84",39,2,4,"Comparison",0.049205968,46.89362561,59.46543682,12.57181121,0.268092114,764.0446541,12.84855027,"Continuous","approximant","2_4"
"85",39,2,5,"Comparison",0.033733838,38.49293979,61.81459463,23.32165483,0.605868374,722.8094355,11.69318411,"Continuous","approximant","2_5"
"86",40,2,1,"Comparison-High",0.053066578,48.25078398,69.14275962,20.89197564,0.432987278,777.3041244,11.24201766,"Whitening","approximant","2_1"
"87",40,2,2,"Comparison-High",0.064262255,43.10225869,57.38055082,14.27829213,0.33126552,822.8541836,14.34029775,"Whitening","approximant","2_2"
"88",40,2,3,"Comparison-High",0.038559073,59.48069906,72.13087473,12.65017567,0.212676984,687.2189358,9.527389462,"Whitening","approximant","2_3"
"89",40,2,4,"Comparison-High",0.083580788,60.61954191,72.44931711,11.8297752,0.195147882,342.8842739,4.732746802,"Continuous","approximant","2_4"
"90",40,2,5,"Comparison-High",0.076906299,48.75782179,69.44853079,20.690709,0.424356713,723.6547468,10.4200152,"Whitening","approximant","2_5"
"91",41,2,1,"Comparison",0.049040973,43.65377172,66.89475229,23.24098057,0.532393414,901.5231643,13.47673971,"Whitening","approximant","2_1"
"92",41,2,2,"Comparison",0.027994,53.61011317,64.32187422,10.71176105,0.199808589,407.3662937,6.33324664,"Whitening","tap","2_2"
"93",41,2,3,"Comparison",0.043688018,53.38273481,64.93681429,11.55407948,0.216438508,367.5403584,5.659969039,"Stripe/Burst","stop","2_3"
"94",41,2,4,"Comparison",0.052638928,44.2636547,66.09994753,21.83629283,0.493323314,1055.107875,15.96231032,"Whitening","approximant","2_4"
"95",41,2,5,"Comparison",0.059906201,52.78538645,62.75352774,9.968141292,0.188842821,259.0205498,4.127585478,"Continuous","approximant","2_5"
"96",47,2,1,"Comparison",0.045299581,42.56394514,65.49318679,22.92924165,0.538701043,799.4218636,12.20618362,"Continuous","approximant","2_1"
"97",47,2,2,"Comparison",0.036886681,45.26475552,54.80779184,9.543036321,0.210827082,370.470976,6.759458163,"Continuous","approximant","2_2"
"98",47,2,3,"Comparison",0.053279159,46.28834613,65.44498578,19.15663965,0.413854485,812.3208789,12.41227069,"Stripe/Burst","stop","2_3"
"99",47,2,4,"Comparison",0.080385885,33.23951875,59.22730197,25.98778322,0.781833919,1413.942696,23.8731573,"Stripe/Burst","stop","2_4"
"100",47,2,5,"Comparison",0.057379282,45.96682113,60.59848186,14.63166073,0.318309171,212.8654897,3.512719843,"Continuous","approximant","2_5"
"101",48,2,1,"Experimental",0.073388535,44.31878783,59.403346,15.08455817,0.340364863,418.6653806,7.047841725,"Continuous","approximant","2_1"
"102",48,2,2,"Experimental",0.066790761,40.29207671,62.53755798,22.24548127,0.552105602,979.3860967,15.66076656,"Continuous","approximant","2_2"
"103",48,2,3,"Experimental",0.059321614,53.59512939,67.42102108,13.82589169,0.257969182,286.3980356,4.247904156,"Continuous","approximant","2_3"
"104",48,2,4,"Experimental",0.044307494,46.12877331,66.13580122,20.00702791,0.433721222,557.1700391,8.424635808,"Continuous","approximant","2_4"
"105",48,2,5,"Experimental",0.073207063,42.31931272,66.80519427,24.48588155,0.57859828,486.9504417,7.28911048,"Continuous","approximant","2_5"
"106",49,2,1,"Comparison",0.059282819,33.80477189,65.87165618,32.06688429,0.948590465,1429.275646,21.69788539,"Stripe/Burst","stop","2_1"
"107",49,2,2,"Comparison",0.079420731,34.45192115,59.4990532,25.04713205,0.727016991,1100.920485,18.50315972,"Whitening","approximant","2_2"
"108",49,2,3,"Comparison",0.064179048,41.24093236,62.09188737,20.85095501,0.505588836,958.2158755,15.43222337,"Stripe/Burst","stop","2_3"
"109",49,2,4,"Comparison",0.058859116,38.18950336,62.63087971,24.44137635,0.640002467,1219.952222,19.47844623,"Whitening","approximant","2_4"
"110",49,2,5,"Comparison",0.062150789,27.23303865,62.69555189,35.46251324,1.30218716,1328.391832,21.18797572,"Stripe/Burst","stop","2_5"
